,Learning rate,Epochs,Batch size,Num layers,Features list,Transforms,Runtime,Optimizer,Loss function,Training Loss list,Validation Loss list,Training Dice list,Validation Dice list,Test Dice,Test results,Organ
0,1e-05,30,12,4,"[64, 128, 256, 512]","Compose(
    <transform.HorizontalFlip object at 0x2b17bfb2cfd0>
    <transform.VerticalFlip object at 0x2b17bfb2cf90>
)",1225.6504859924316,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 1e-05
    weight_decay: 0
)",BCEWithLogitsLoss(),"[tensor(23.9329), tensor(23.0840), tensor(23.0998), tensor(22.9543), tensor(22.7449), tensor(22.1944), tensor(22.3875), tensor(23.0403), tensor(22.4088), tensor(22.1485), tensor(22.5781), tensor(22.0228), tensor(22.2868), tensor(22.0922), tensor(22.1423), tensor(22.1082), tensor(22.0526), tensor(22.0850), tensor(22.0211), tensor(22.0327), tensor(22.1869), tensor(22.0172), tensor(22.0697), tensor(22.0525), tensor(22.0031), tensor(22.2622), tensor(22.0765), tensor(22.3305), tensor(21.9923), tensor(22.4786)]","[tensor(8.2449), tensor(7.9615), tensor(7.9690), tensor(7.9223), tensor(7.8463), tensor(7.6363), tensor(7.7182), tensor(7.9591), tensor(7.7350), tensor(7.6259), tensor(7.7984), tensor(7.5728), tensor(7.6765), tensor(7.5963), tensor(7.6172), tensor(7.6077), tensor(7.5837), tensor(7.5936), tensor(7.5715), tensor(7.5778), tensor(7.6396), tensor(7.5691), tensor(7.5915), tensor(7.5872), tensor(7.5665), tensor(7.6748), tensor(7.5966), tensor(7.6995), tensor(7.5588), tensor(7.7527)]","[tensor(0.2494), tensor(0.2935), tensor(0.3302), tensor(0.3730), tensor(0.4183), tensor(0.5605), tensor(0.5376), tensor(0.3953), tensor(0.5519), tensor(0.6508), tensor(0.4723), tensor(0.6583), tensor(0.6052), tensor(0.7150), tensor(0.6893), tensor(0.7062), tensor(0.7464), tensor(0.7259), tensor(0.7682), tensor(0.7614), tensor(0.6570), tensor(0.7678), tensor(0.7369), tensor(0.7569), tensor(0.7880), tensor(0.6337), tensor(0.7365), tensor(0.5983), tensor(0.7313), tensor(0.5379)]","[tensor(0.2566), tensor(0.3045), tensor(0.3424), tensor(0.3869), tensor(0.4370), tensor(0.6172), tensor(0.5527), tensor(0.3990), tensor(0.5624), tensor(0.6772), tensor(0.5029), tensor(0.7066), tensor(0.6295), tensor(0.7555), tensor(0.7295), tensor(0.7445), tensor(0.7848), tensor(0.7723), tensor(0.8133), tensor(0.7993), tensor(0.6873), tensor(0.8100), tensor(0.7791), tensor(0.7909), tensor(0.8310), tensor(0.6448), tensor(0.7672), tensor(0.6139), tensor(0.8080), tensor(0.5574)]",tensor(0.7190),,lv
1,6e-05,30,12,4,"[64, 128, 256, 512]","Compose(
    <transform.HorizontalFlip object at 0x2b17bfb2cfd0>
    <transform.VerticalFlip object at 0x2b17bfb2cf90>
)",1066.4402706623075,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 6e-05
    weight_decay: 0
)",BCEWithLogitsLoss(),"[tensor(23.9846), tensor(22.4057), tensor(22.3536), tensor(22.2050), tensor(22.1833), tensor(22.1944), tensor(22.1832), tensor(22.1832), tensor(22.1518), tensor(22.1537), tensor(22.1382), tensor(22.1577), tensor(22.1180), tensor(22.3245), tensor(22.1540), tensor(22.0325), tensor(22.0244), tensor(22.2077), tensor(22.0976), tensor(22.0146), tensor(22.0338), tensor(21.9900), tensor(21.9912), tensor(21.9853), tensor(22.1126), tensor(22.0181), tensor(22.0108), tensor(22.0458), tensor(22.0417), tensor(21.9757)]","[tensor(8.2678), tensor(7.7072), tensor(7.6786), tensor(7.6286), tensor(7.6238), tensor(7.6336), tensor(7.6258), tensor(7.6263), tensor(7.6184), tensor(7.6193), tensor(7.6155), tensor(7.6214), tensor(7.6108), tensor(7.6918), tensor(7.6240), tensor(7.5720), tensor(7.5698), tensor(7.6476), tensor(7.6013), tensor(7.5690), tensor(7.5748), tensor(7.5574), tensor(7.5603), tensor(7.5575), tensor(7.6078), tensor(7.5696), tensor(7.5653), tensor(7.5768), tensor(7.5742), tensor(7.5547)]","[tensor(0.2713), tensor(0.4190), tensor(0.2975), tensor(0.4044), tensor(0.3902), tensor(0.4811), tensor(0.4806), tensor(0.4902), tensor(0.5164), tensor(0.5566), tensor(0.6010), tensor(0.4962), tensor(0.5948), tensor(0.5321), tensor(0.6672), tensor(0.6261), tensor(0.6807), tensor(0.6482), tensor(0.6936), tensor(0.6886), tensor(0.7482), tensor(0.7488), tensor(0.7699), tensor(0.7622), tensor(0.7042), tensor(0.7606), tensor(0.7721), tensor(0.7350), tensor(0.7369), tensor(0.7661)]","[tensor(0.2715), tensor(0.4764), tensor(0.3560), tensor(0.4916), tensor(0.4668), tensor(0.5315), tensor(0.5439), tensor(0.5572), tensor(0.5728), tensor(0.6227), tensor(0.6558), tensor(0.5619), tensor(0.6492), tensor(0.5728), tensor(0.7010), tensor(0.6924), tensor(0.7618), tensor(0.6704), tensor(0.7458), tensor(0.7470), tensor(0.7982), tensor(0.8164), tensor(0.8269), tensor(0.8248), tensor(0.7453), tensor(0.8029), tensor(0.8307), tensor(0.7998), tensor(0.8012), tensor(0.8274)]",tensor(0.7161),,lv
2,0.00011,30,12,4,"[64, 128, 256, 512]","Compose(
    <transform.HorizontalFlip object at 0x2b17bfb2cfd0>
    <transform.VerticalFlip object at 0x2b17bfb2cf90>
)",1653.6959052085876,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.00011
    weight_decay: 0
)",BCEWithLogitsLoss(),"[tensor(23.8340), tensor(22.3934), tensor(22.4023), tensor(22.1816), tensor(22.3664), tensor(22.3535), tensor(22.1639), tensor(22.2286), tensor(22.2982), tensor(22.3005), tensor(22.3092), tensor(22.5327), tensor(22.6998), tensor(22.5514), tensor(22.5467), tensor(22.4127), tensor(22.8650), tensor(22.4466), tensor(22.2259), tensor(22.4523), tensor(22.0671), tensor(22.0341), tensor(22.0110), tensor(22.0245), tensor(22.0096), tensor(22.0573), tensor(22.0160), tensor(22.0453), tensor(22.0263), tensor(22.0483)]","[tensor(8.2255), tensor(7.7016), tensor(7.7052), tensor(7.6246), tensor(7.6896), tensor(7.6814), tensor(7.6224), tensor(7.6422), tensor(7.6686), tensor(7.6677), tensor(7.6734), tensor(7.7551), tensor(7.8229), tensor(7.7670), tensor(7.7618), tensor(7.7145), tensor(7.8901), tensor(7.7282), tensor(7.6494), tensor(7.7374), tensor(7.5831), tensor(7.5717), tensor(7.5684), tensor(7.5705), tensor(7.5706), tensor(7.5793), tensor(7.5654), tensor(7.5783), tensor(7.5687), tensor(7.5784)]","[tensor(0.2943), tensor(0.3147), tensor(0.2633), tensor(0.0013), tensor(0.1997), tensor(0.2315), tensor(0.4016), tensor(0.4710), tensor(0.4635), tensor(0.5020), tensor(0.5068), tensor(0.4621), tensor(0.4204), tensor(0.4680), tensor(0.4773), tensor(0.5097), tensor(0.4235), tensor(0.5030), tensor(0.6172), tensor(0.5089), tensor(0.6086), tensor(0.6698), tensor(0.6619), tensor(0.6351), tensor(0.6689), tensor(0.6840), tensor(0.7424), tensor(0.7484), tensor(0.7608), tensor(0.7058)]","[tensor(0.2917), tensor(0.3485), tensor(0.2925), tensor(0.0009), tensor(0.2300), tensor(0.2731), tensor(0.4524), tensor(0.5385), tensor(0.5244), tensor(0.5666), tensor(0.5665), tensor(0.5074), tensor(0.4549), tensor(0.5124), tensor(0.5182), tensor(0.5542), tensor(0.4415), tensor(0.5562), tensor(0.6571), tensor(0.5436), tensor(0.6694), tensor(0.7477), tensor(0.7133), tensor(0.6929), tensor(0.6901), tensor(0.7531), tensor(0.8236), tensor(0.7970), tensor(0.8243), tensor(0.7544)]",tensor(0.6083),,lv
3,0.00016,30,12,4,"[64, 128, 256, 512]","Compose(
    <transform.HorizontalFlip object at 0x2b17bfb2cfd0>
    <transform.VerticalFlip object at 0x2b17bfb2cf90>
)",1038.2387418746948,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.00016
    weight_decay: 0
)",BCEWithLogitsLoss(),"[tensor(22.4375), tensor(22.1812), tensor(22.2670), tensor(22.2605), tensor(22.3544), tensor(22.2531), tensor(22.3827), tensor(22.3301), tensor(22.2642), tensor(22.1857), tensor(22.1256), tensor(22.1069), tensor(22.0712), tensor(22.0919), tensor(22.1147), tensor(22.0139), tensor(22.0410), tensor(22.0590), tensor(22.0117), tensor(22.3635), tensor(22.0834), tensor(22.0121), tensor(21.9876), tensor(22.0080), tensor(22.1669), tensor(21.9768), tensor(21.9820), tensor(22.0396), tensor(22.0064), tensor(22.1977)]","[tensor(7.7099), tensor(7.6207), tensor(7.6451), tensor(7.6511), tensor(7.6865), tensor(7.6516), tensor(7.7029), tensor(7.6837), tensor(7.6625), tensor(7.6338), tensor(7.6079), tensor(7.6090), tensor(7.5882), tensor(7.5947), tensor(7.6114), tensor(7.5651), tensor(7.5845), tensor(7.5853), tensor(7.5679), tensor(7.7083), tensor(7.5973), tensor(7.5666), tensor(7.5577), tensor(7.5685), tensor(7.6251), tensor(7.5565), tensor(7.5591), tensor(7.5765), tensor(7.5640), tensor(7.6384)]","[tensor(0.3171), tensor(0.2998), tensor(0.3239), tensor(0.4624), tensor(0.4638), tensor(0.5192), tensor(0.5098), tensor(0.5483), tensor(0.5729), tensor(0.6070), tensor(0.6332), tensor(0.6151), tensor(0.6424), tensor(0.3547), tensor(0.6985), tensor(0.6412), tensor(0.5301), tensor(0.4680), tensor(0.7337), tensor(0.5868), tensor(0.7265), tensor(0.7720), tensor(0.7528), tensor(0.7140), tensor(0.6758), tensor(0.7882), tensor(0.7872), tensor(0.7684), tensor(0.7797), tensor(0.6602)]","[tensor(0.3709), tensor(0.3866), tensor(0.4215), tensor(0.5334), tensor(0.5285), tensor(0.5780), tensor(0.5624), tensor(0.5953), tensor(0.6259), tensor(0.6541), tensor(0.6795), tensor(0.6240), tensor(0.6870), tensor(0.3553), tensor(0.7190), tensor(0.7303), tensor(0.5248), tensor(0.5063), tensor(0.7660), tensor(0.5925), tensor(0.7543), tensor(0.8087), tensor(0.8235), tensor(0.7551), tensor(0.7168), tensor(0.8185), tensor(0.8226), tensor(0.8118), tensor(0.8225), tensor(0.7028)]",tensor(0.6748),,lv
4,0.00021,30,12,4,"[64, 128, 256, 512]","Compose(
    <transform.HorizontalFlip object at 0x2b17bfb2cfd0>
    <transform.VerticalFlip object at 0x2b17bfb2cf90>
)",1069.633003950119,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.00021
    weight_decay: 0
)",BCEWithLogitsLoss(),"[tensor(22.4768), tensor(22.2573), tensor(22.3807), tensor(22.1807), tensor(22.1841), tensor(22.1620), tensor(22.2536), tensor(22.1674), tensor(22.3405), tensor(22.2443), tensor(22.4832), tensor(22.2168), tensor(22.2140), tensor(22.4681), tensor(22.4515), tensor(22.1640), tensor(22.0583), tensor(22.1015), tensor(22.0832), tensor(22.1331), tensor(22.1699), tensor(22.1315), tensor(22.0427), tensor(22.0291), tensor(22.0176), tensor(21.9930), tensor(22.3721), tensor(22.0244), tensor(21.9779), tensor(22.0478)]","[tensor(7.7223), tensor(7.6431), tensor(7.6844), tensor(7.6246), tensor(7.6258), tensor(7.6199), tensor(7.6568), tensor(7.6237), tensor(7.6896), tensor(7.6519), tensor(7.7406), tensor(7.6353), tensor(7.6473), tensor(7.7350), tensor(7.7411), tensor(7.6318), tensor(7.5850), tensor(7.6061), tensor(7.5950), tensor(7.6258), tensor(7.6312), tensor(7.6187), tensor(7.5793), tensor(7.5744), tensor(7.5684), tensor(7.5621), tensor(7.7090), tensor(7.5695), tensor(7.5569), tensor(7.5765)]","[tensor(0.3328), tensor(0.3508), tensor(0.0151), tensor(0.0003), tensor(0.0004), tensor(0.3749), tensor(0.5094), tensor(0.5268), tensor(0.5478), tensor(0.5824), tensor(0.5081), tensor(0.2876), tensor(0.6001), tensor(0.5392), tensor(0.5285), tensor(0.6550), tensor(0.6816), tensor(0.6932), tensor(0.7114), tensor(0.6903), tensor(0.6509), tensor(0.7023), tensor(0.7570), tensor(0.7710), tensor(0.7742), tensor(0.7698), tensor(0.5769), tensor(0.7513), tensor(0.7973), tensor(0.7515)]","[tensor(0.3873), tensor(0.4370), tensor(0.0155), tensor(4.3879e-05), tensor(0.0002), tensor(0.4362), tensor(0.5557), tensor(0.5808), tensor(0.5914), tensor(0.6344), tensor(0.5449), tensor(0.3179), tensor(0.6297), tensor(0.5690), tensor(0.5524), tensor(0.6771), tensor(0.7226), tensor(0.7161), tensor(0.7450), tensor(0.6840), tensor(0.6935), tensor(0.7201), tensor(0.7818), tensor(0.8100), tensor(0.8163), tensor(0.7993), tensor(0.5957), tensor(0.8015), tensor(0.8282), tensor(0.7992)]",tensor(0.6763),,lv
5,0.00026,30,12,4,"[64, 128, 256, 512]","Compose(
    <transform.HorizontalFlip object at 0x2b17bfb2cfd0>
    <transform.VerticalFlip object at 0x2b17bfb2cf90>
)",1112.128987312317,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.00026
    weight_decay: 0
)",BCEWithLogitsLoss(),"[tensor(22.4326), tensor(22.1846), tensor(22.1730), tensor(22.1559), tensor(22.1476), tensor(22.1508), tensor(22.2139), tensor(22.1816), tensor(22.1275), tensor(22.3234), tensor(22.0951), tensor(22.3564), tensor(22.0829), tensor(22.2491), tensor(22.1549), tensor(22.0092), tensor(22.0511), tensor(22.0951), tensor(22.1988), tensor(22.0009), tensor(22.0033), tensor(21.9997), tensor(21.9990), tensor(22.0456), tensor(21.9984), tensor(22.0756), tensor(22.0468), tensor(21.9842), tensor(22.0222), tensor(21.9979)]","[tensor(7.7250), tensor(7.6289), tensor(7.6206), tensor(7.6159), tensor(7.6185), tensor(7.6185), tensor(7.6320), tensor(7.6166), tensor(7.6097), tensor(7.6838), tensor(7.5976), tensor(7.6933), tensor(7.6007), tensor(7.6615), tensor(7.6304), tensor(7.5681), tensor(7.5815), tensor(7.6019), tensor(7.6407), tensor(7.5647), tensor(7.5699), tensor(7.5702), tensor(7.5659), tensor(7.5813), tensor(7.5652), tensor(7.5899), tensor(7.5841), tensor(7.5595), tensor(7.5703), tensor(7.5635)]","[tensor(0.3876), tensor(0.4331), tensor(0.3224), tensor(0.2698), tensor(0.2805), tensor(0.4810), tensor(0.1433), tensor(0.4675), tensor(0.5468), tensor(0.5566), tensor(0.5768), tensor(0.5833), tensor(0.6420), tensor(0.6096), tensor(0.6237), tensor(0.6852), tensor(0.6997), tensor(0.7159), tensor(0.6519), tensor(0.7134), tensor(0.6783), tensor(0.7031), tensor(0.7049), tensor(0.7536), tensor(0.7669), tensor(0.4802), tensor(0.7540), tensor(0.7804), tensor(0.7679), tensor(0.7759)]","[tensor(0.4271), tensor(0.4887), tensor(0.3920), tensor(0.3139), tensor(0.2869), tensor(0.5398), tensor(0.1840), tensor(0.5501), tensor(0.5978), tensor(0.5956), tensor(0.6391), tensor(0.5982), tensor(0.6606), tensor(0.6270), tensor(0.6385), tensor(0.7220), tensor(0.7342), tensor(0.7292), tensor(0.6719), tensor(0.7583), tensor(0.7054), tensor(0.6892), tensor(0.7579), tensor(0.7753), tensor(0.7857), tensor(0.4866), tensor(0.7789), tensor(0.8201), tensor(0.8155), tensor(0.8081)]",tensor(0.6397),,lv
6,0.00031,30,12,4,"[64, 128, 256, 512]","Compose(
    <transform.HorizontalFlip object at 0x2b17bfb2cfd0>
    <transform.VerticalFlip object at 0x2b17bfb2cf90>
)",1181.6060869693756,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.00031
    weight_decay: 0
)",BCEWithLogitsLoss(),"[tensor(22.3378), tensor(22.1948), tensor(22.1748), tensor(22.1687), tensor(22.1702), tensor(22.1618), tensor(22.1551), tensor(22.1491), tensor(22.1292), tensor(22.1510), tensor(22.2182), tensor(22.1367), tensor(22.1827), tensor(22.4137), tensor(22.1339), tensor(22.0954), tensor(22.0941), tensor(22.0858), tensor(22.2053), tensor(22.1186), tensor(22.1089), tensor(22.0463), tensor(22.0455), tensor(22.0214), tensor(22.0449), tensor(22.0296), tensor(22.0552), tensor(22.0231), tensor(22.0502), tensor(22.0221)]","[tensor(7.6720), tensor(7.6298), tensor(7.6207), tensor(7.6217), tensor(7.6218), tensor(7.6146), tensor(7.6126), tensor(7.6093), tensor(7.6056), tensor(7.6222), tensor(7.6409), tensor(7.6133), tensor(7.6355), tensor(7.7178), tensor(7.6146), tensor(7.5950), tensor(7.6015), tensor(7.5962), tensor(7.6491), tensor(7.6106), tensor(7.6100), tensor(7.5839), tensor(7.5860), tensor(7.5726), tensor(7.5800), tensor(7.5751), tensor(7.5849), tensor(7.5707), tensor(7.5814), tensor(7.5708)]","[tensor(0.3359), tensor(0.0043), tensor(0.1648), tensor(0.1833), tensor(0.4060), tensor(0.2591), tensor(0.3413), tensor(0.3921), tensor(0.3535), tensor(0.5271), tensor(0.5374), tensor(0.5397), tensor(0.5427), tensor(0.5169), tensor(0.3575), tensor(0.6309), tensor(0.5543), tensor(0.6085), tensor(0.6521), tensor(0.5841), tensor(0.6590), tensor(0.6982), tensor(0.6517), tensor(0.6554), tensor(0.7047), tensor(0.5894), tensor(0.6820), tensor(0.6005), tensor(0.6929), tensor(0.6391)]","[tensor(0.4164), tensor(0.0042), tensor(0.2017), tensor(0.1989), tensor(0.4696), tensor(0.3337), tensor(0.4204), tensor(0.4839), tensor(0.4238), tensor(0.5660), tensor(0.5977), tensor(0.6072), tensor(0.5750), tensor(0.5598), tensor(0.4132), tensor(0.6932), tensor(0.6052), tensor(0.6605), tensor(0.6559), tensor(0.6393), tensor(0.6839), tensor(0.7272), tensor(0.6777), tensor(0.6842), tensor(0.7185), tensor(0.6488), tensor(0.6917), tensor(0.6727), tensor(0.7066), tensor(0.6820)]",tensor(0.5862),,lv
7,0.00036,30,12,4,"[64, 128, 256, 512]","Compose(
    <transform.HorizontalFlip object at 0x2b17bfb2cfd0>
    <transform.VerticalFlip object at 0x2b17bfb2cf90>
)",1162.9310011863708,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.00036
    weight_decay: 0
)",BCEWithLogitsLoss(),"[tensor(36.2567), tensor(22.1960), tensor(22.1813), tensor(22.1808), tensor(22.1807), tensor(22.1807), tensor(22.1718), tensor(22.1621), tensor(22.1900), tensor(22.1925), tensor(22.2176), tensor(22.2103), tensor(22.2435), tensor(22.3817), tensor(22.2969), tensor(22.3426), tensor(22.2488), tensor(22.1788), tensor(22.1403), tensor(22.3593), tensor(22.1179), tensor(22.3066), tensor(22.2348), tensor(22.1285), tensor(22.1321), tensor(22.2024), tensor(22.2495), tensor(22.0190), tensor(22.0598), tensor(22.0321)]","[tensor(12.5435), tensor(7.6294), tensor(7.6248), tensor(7.6247), tensor(7.6246), tensor(7.6246), tensor(7.6242), tensor(7.6242), tensor(7.6367), tensor(7.6349), tensor(7.6453), tensor(7.6437), tensor(7.6501), tensor(7.7100), tensor(7.6718), tensor(7.6882), tensor(7.6542), tensor(7.6198), tensor(7.6088), tensor(7.6931), tensor(7.6062), tensor(7.6768), tensor(7.6487), tensor(7.6052), tensor(7.6127), tensor(7.6419), tensor(7.6502), tensor(7.5676), tensor(7.5816), tensor(7.5764)]","[tensor(0.0362), tensor(0.0019), tensor(0.0003), tensor(0.0003), tensor(0.0003), tensor(0.0036), tensor(0.1119), tensor(0.2594), tensor(0.3978), tensor(0.4980), tensor(0.4971), tensor(0.4596), tensor(0.5236), tensor(0.4636), tensor(0.5450), tensor(0.5298), tensor(0.4530), tensor(0.5653), tensor(0.5808), tensor(0.5264), tensor(0.5440), tensor(0.5445), tensor(0.4633), tensor(0.5926), tensor(0.6287), tensor(0.6000), tensor(0.5511), tensor(0.6533), tensor(0.6497), tensor(0.6397)]","[tensor(0.0383), tensor(0.0007), tensor(4.3812e-05), tensor(4.3852e-05), tensor(4.3884e-05), tensor(0.0060), tensor(0.1194), tensor(0.2649), tensor(0.4285), tensor(0.5456), tensor(0.5452), tensor(0.5088), tensor(0.5825), tensor(0.4965), tensor(0.5915), tensor(0.5817), tensor(0.5092), tensor(0.6410), tensor(0.6499), tensor(0.5780), tensor(0.6049), tensor(0.5850), tensor(0.5326), tensor(0.6613), tensor(0.6729), tensor(0.6330), tensor(0.6201), tensor(0.7346), tensor(0.7107), tensor(0.6820)]",tensor(0.5530),,lv
8,0.00041,30,12,4,"[64, 128, 256, 512]","Compose(
    <transform.HorizontalFlip object at 0x2b17bfb2cfd0>
    <transform.VerticalFlip object at 0x2b17bfb2cf90>
)",957.4332525730132,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.00041
    weight_decay: 0
)",BCEWithLogitsLoss(),"[tensor(22.1946), tensor(22.1658), tensor(22.1915), tensor(22.2037), tensor(22.5467), tensor(22.1614), tensor(22.2195), tensor(22.1520), tensor(22.1290), tensor(22.4312), tensor(22.2090), tensor(22.1391), tensor(22.0930), tensor(22.0706), tensor(22.1948), tensor(22.0718), tensor(22.1369), tensor(22.1007), tensor(22.0637), tensor(22.0512), tensor(22.0645), tensor(22.0096), tensor(22.0085), tensor(22.0227), tensor(22.0026), tensor(22.0499), tensor(22.0395), tensor(22.0372), tensor(22.0241), tensor(22.1115)]","[tensor(7.6262), tensor(7.6220), tensor(7.6260), tensor(7.6279), tensor(7.7550), tensor(7.6173), tensor(7.6321), tensor(7.6156), tensor(7.6107), tensor(7.7230), tensor(7.6332), tensor(7.6109), tensor(7.5947), tensor(7.5825), tensor(7.6359), tensor(7.5848), tensor(7.6169), tensor(7.5965), tensor(7.5827), tensor(7.5830), tensor(7.5836), tensor(7.5651), tensor(7.5653), tensor(7.5691), tensor(7.5630), tensor(7.5832), tensor(7.5771), tensor(7.5781), tensor(7.5733), tensor(7.6082)]","[tensor(0.0735), tensor(0.3496), tensor(0.0247), tensor(0.0386), tensor(0.0750), tensor(0.2023), tensor(0.2639), tensor(0.4026), tensor(0.2825), tensor(0.4778), tensor(0.5730), tensor(0.6212), tensor(0.6365), tensor(0.6958), tensor(0.6223), tensor(0.6354), tensor(0.6260), tensor(0.6683), tensor(0.5714), tensor(0.5570), tensor(0.6873), tensor(0.6937), tensor(0.6966), tensor(0.6712), tensor(0.6980), tensor(0.7094), tensor(0.7100), tensor(0.5651), tensor(0.6282), tensor(0.7093)]","[tensor(0.1235), tensor(0.4139), tensor(0.0296), tensor(0.0433), tensor(0.0781), tensor(0.2370), tensor(0.3156), tensor(0.4732), tensor(0.3013), tensor(0.5234), tensor(0.6397), tensor(0.6769), tensor(0.7009), tensor(0.7678), tensor(0.6576), tensor(0.7062), tensor(0.6626), tensor(0.7369), tensor(0.6221), tensor(0.5851), tensor(0.7556), tensor(0.7618), tensor(0.7611), tensor(0.7343), tensor(0.7673), tensor(0.7693), tensor(0.7769), tensor(0.6077), tensor(0.6569), tensor(0.7340)]",tensor(0.6488),,lv
9,0.00046,30,12,4,"[64, 128, 256, 512]","Compose(
    <transform.HorizontalFlip object at 0x2b17bfb2cfd0>
    <transform.VerticalFlip object at 0x2b17bfb2cf90>
)",1061.149960756302,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.00046
    weight_decay: 0
)",BCEWithLogitsLoss(),"[tensor(24.0933), tensor(22.1918), tensor(22.1829), tensor(22.1767), tensor(22.1528), tensor(22.1308), tensor(22.1324), tensor(22.1215), tensor(22.1240), tensor(22.1226), tensor(22.1394), tensor(22.1220), tensor(22.0949), tensor(22.2194), tensor(22.1087), tensor(22.1691), tensor(22.1741), tensor(22.0743), tensor(22.0548), tensor(22.1234), tensor(22.1002), tensor(22.0376), tensor(22.0280), tensor(22.0240), tensor(22.0295), tensor(22.0151), tensor(22.0409), tensor(22.0595), tensor(22.0317), tensor(22.0137)]","[tensor(8.3410), tensor(7.6275), tensor(7.6251), tensor(7.6237), tensor(7.6170), tensor(7.6102), tensor(7.6065), tensor(7.6047), tensor(7.6038), tensor(7.6040), tensor(7.6116), tensor(7.6059), tensor(7.5993), tensor(7.6445), tensor(7.6017), tensor(7.6237), tensor(7.6285), tensor(7.5925), tensor(7.5827), tensor(7.6064), tensor(7.5996), tensor(7.5740), tensor(7.5673), tensor(7.5690), tensor(7.5698), tensor(7.5690), tensor(7.5839), tensor(7.5879), tensor(7.5751), tensor(7.5661)]","[tensor(0.1503), tensor(0.0003), tensor(0.0007), tensor(0.0401), tensor(0.1815), tensor(0.3563), tensor(0.4102), tensor(0.4277), tensor(0.4636), tensor(0.5750), tensor(0.5967), tensor(0.5408), tensor(0.5307), tensor(0.5448), tensor(0.5068), tensor(0.6340), tensor(0.5799), tensor(0.5295), tensor(0.6080), tensor(0.6241), tensor(0.6753), tensor(0.6506), tensor(0.7039), tensor(0.7199), tensor(0.7226), tensor(0.7323), tensor(0.7259), tensor(0.6880), tensor(0.7370), tensor(0.7392)]","[tensor(0.1532), tensor(6.2897e-05), tensor(0.0004), tensor(0.0509), tensor(0.2041), tensor(0.4044), tensor(0.4915), tensor(0.5075), tensor(0.5383), tensor(0.6385), tensor(0.6585), tensor(0.6064), tensor(0.5795), tensor(0.6078), tensor(0.5788), tensor(0.6774), tensor(0.6386), tensor(0.5932), tensor(0.6907), tensor(0.6913), tensor(0.7336), tensor(0.7252), tensor(0.7832), tensor(0.7742), tensor(0.7839), tensor(0.7867), tensor(0.7598), tensor(0.7372), tensor(0.7819), tensor(0.8021)]",tensor(0.6174),,lv
